position	link_query
74:19:2	kyf
74:19:3	qdr
74:20:2	qtl
74:20:3	kyf
74:20:4	qdr
74:21:2	nZr
74:22:2	Ebs
74:22:3	bsr
74:23:2	dbr
74:23:3	kbr
74:24:1	qwl
74:24:4	%3Cil%7EaA
74:24:5	sHr
74:24:6	Avr
74:25:3	%3Cil%7EaA
74:25:4	qwl
74:25:5	b$r
74:26:1	Sly
74:27:2	dry
74:28:2	bqy
74:28:4	w*r
74:29:1	lwH
74:29:2	b$r
74:30:2	tsE
74:30:3	E$r
74:31:2	jEl
74:31:3	SHb
74:31:4	nwr
74:31:5	%3Cil%7EaA
74:31:6	mlk
74:31:8	jEl
74:31:9	Edd
74:31:10	%3Cil%7EaA
74:31:11	ftn
74:31:12	%7Bl%7Ea*iY
74:31:13	kfr
74:31:14	yqn
74:31:15	%7Bl%7Ea*iY
74:31:16	Aty
74:31:17	ktb
74:31:18	zyd
74:31:19	%7Bl%7Ea*iY
74:31:20	Amn
74:31:21	Amn
74:31:23	ryb
74:31:24	%7Bl%7Ea*iY
74:31:25	Aty
74:31:26	ktb
74:31:27	Amn
74:31:28	qwl
74:31:29	%7Bl%7Ea*iY
74:31:31	qlb
74:31:32	mrD
74:31:33	kfr
74:31:35	rwd
74:31:36	Alh
74:31:38	mvl
74:31:40	Dll
74:31:41	Alh
74:31:43	$yA
74:31:44	hdy
74:31:46	$yA
74:31:48	Elm
74:31:49	jnd
74:31:50	rbb
74:31:51	%3Cil%7EaA
74:31:55	%3Cil%7EaA
74:31:56	*kr
74:31:57	b$r
74:31:58	smw
74:31:59	smw
74:31:60	smw
74:31:61	smw
74:31:62	smw
74:31:63	smw
74:32:2	qmr
74:33:1	lyl
74:33:2	%3Ci*
74:33:3	dbr
74:34:1	SbH
74:34:2	%3Ci*aA
74:34:3	sfr
74:35:2	AHd
74:35:3	kbr
74:36:1	n*r
74:36:2	b$r
74:37:2	$yA
74:37:5	qdm
74:37:7	Axr
74:38:1	kll
74:38:2	nfs
74:38:4	ksb
74:38:5	rhn
74:39:1	%3Cil%7EaA
74:39:2	SHb
74:39:3	ymn
74:40:2	jnn
74:40:3	sAl
74:41:2	jrm
74:42:2	slk
74:43:1	qwl
74:43:3	kwn
74:43:5	Slw
74:44:2	kwn
74:44:3	TEm
74:44:4	skn
74:45:1	kwn
74:45:2	xwD
74:45:4	xwD
74:46:1	kwn
74:46:2	k*b
74:46:3	ywm
74:46:4	dyn
74:47:2	Aty
74:47:3	yqn
74:48:2	nfE
74:48:3	$fE
74:48:4	$fE
74:49:4	*kr
74:49:5	ErD
74:50:2	Hmr
74:50:3	nfr
74:51:1	frr
74:51:3	qsr
74:52:2	rwd
74:52:3	kll
74:52:4	mrA
74:52:7	Aty
74:52:8	SHf
74:52:9	n$r
74:53:4	xwf
74:53:5	Axr
74:53:6	smw
74:54:3	*kr
74:55:2	$yA
74:55:3	*kr
74:56:2	*kr
74:56:3	%3Cil%7EaA
74:56:5	$yA
74:56:6	Alh
74:56:8	Ahl
74:56:9	wqy
74:56:10	Ahl
74:56:11	gfr
74:56:12	smw
1:1:1	smw
1:1:2	Alh
1:1:3	rHm
1:1:4	rHm
1:2:1	Hmd
1:2:2	Alh
1:2:3	rbb
1:2:4	Elm
1:3:1	rHm
1:3:2	rHm
1:4:1	mlk
1:4:2	ywm
1:4:3	dyn
1:5:2	Ebd
1:5:4	Ewn
1:6:1	hdy
1:6:2	SrT
1:6:3	qwm
1:7:1	SrT
1:7:2	%7Bl%7Ea*iY
1:7:3	nEm
1:7:5	gyr
1:7:6	gDb
1:7:9	Dll
111:1:1	tbb
111:1:2	ydy
111:1:3	Abw
111:1:4	lhb
111:1:5	tbb
111:2:2	gny
111:2:4	mwl
111:2:6	ksb
111:3:1	Sly
111:3:2	nwr
111:3:4	lhb
111:4:1	mrA
111:4:2	Hml
111:4:3	HTb
111:5:2	jyd
111:5:3	Hbl
111:5:5	msd
81:1:1	%3Ci*aA
81:1:2	$ms
81:1:3	kwr
81:2:1	%3Ci*aA
81:2:2	njm
81:2:3	kdr
81:3:1	%3Ci*aA
81:3:2	jbl
81:3:3	syr
81:4:1	%3Ci*aA
81:4:2	E$r
81:4:3	ETl
81:5:1	%3Ci*aA
81:5:2	wH$
81:5:3	H$r
81:6:1	%3Ci*aA
81:6:2	bHr
81:6:3	sjr
81:7:1	%3Ci*aA
81:7:2	nfs
81:7:3	zwj
81:8:1	%3Ci*aA
81:8:2	wAd
81:8:3	sAl
81:9:2	*nb
81:9:3	qtl
81:10:1	%3Ci*aA
81:10:2	SHf
81:10:3	n$r
81:11:1	%3Ci*aA
81:11:2	smw
81:11:3	k$T
81:12:1	%3Ci*aA
81:12:2	jHm
81:12:3	sEr
81:13:1	%3Ci*aA
81:13:2	jnn
81:13:3	zlf
81:14:1	Elm
81:14:2	nfs
81:14:4	HDr
81:15:2	qsm
81:15:3	xns
81:16:1	jry
81:16:2	kns
81:17:1	lyl
81:17:2	%3Ci*aA
81:17:3	EsEs
81:18:1	SbH
81:18:2	%3Ci*aA
81:18:3	nfs
81:19:2	qwl
81:19:3	rsl
81:19:4	krm
81:20:2	qwy
81:20:3	End
81:20:5	Er$
81:20:6	mkn
81:21:1	TwE
81:21:3	Amn
81:22:2	SHb
81:22:3	jnn
81:23:2	rAy
81:23:3	Afq
81:23:4	byn
81:24:4	gyb
81:24:5	Dnn
81:25:3	qwl
81:25:4	$Tn
81:25:5	rjm
