surah:ayah	position	word	meaning	ayah_link
7:143	25	tajallā	revealed (His) Glory	 فَلَمَّا تَجَلَّىٰ رَبُّهُ لِلْجَبَلِ جَعَلَهُ دَكًّا وَخَرَّ مُوسَىٰ صَعِقًا
92:2	3	tajallā	it shines in brightness	 وَالنَّهَارِ إِذَا تَجَلَّىٰ
7:187	12	yujallīhā	can reveal [it]	 قُلْ إِنَّمَا عِلْمُهَا عِنْدَ رَبِّي لَا يُجَلِّيهَا لِوَقْتِهَا إِلَّا هُوَ
91:3	3	jallāhā	it displays it	 وَالنَّهَارِ إِذَا جَلَّاهَا
59:3	6	l-jalāa	the exile	 وَلَوْلَا أَنْ كَتَبَ اللَّهُ عَلَيْهِمُ الْجَلَاءَ لَعَذَّبَهُمْ فِي الدُّنْيَا
