surah:ayah	position	word	meaning	ayah_link
3:37	9	zakariyyā	(of) Zakariya	 وَأَنْبَتَهَا نَبَاتًا حَسَنًا وَكَفَّلَهَا زَكَرِيَّا
3:37	13	zakariyyā	Zakariya	 كُلَّمَا دَخَلَ عَلَيْهَا زَكَرِيَّا الْمِحْرَابَ وَجَدَ عِنْدَهَا رِزْقًا
3:38	3	zakariyyā	Zakariya	 هُنَالِكَ دَعَا زَكَرِيَّا رَبَّهُ
6:85	1	wazakariyyā	And Zakariya	 وَزَكَرِيَّا وَيَحْيَىٰ وَعِيسَىٰ وَإِلْيَاسَ كُلٌّ مِنَ الصَّالِحِينَ
19:2	5	zakariyyā	Zakariya	 ذِكْرُ رَحْمَتِ رَبِّكَ عَبْدَهُ زَكَرِيَّا
19:7	1	yāzakariyyā	O Zakariya	 يَا زَكَرِيَّا إِنَّا نُبَشِّرُكَ بِغُلَامٍ اسْمُهُ يَحْيَىٰ لَمْ نَجْعَلْ لَهُ مِنْ قَبْلُ سَمِيًّا
21:89	1	wazakariyyā	And Zakariya	 وَزَكَرِيَّا إِذْ نَادَىٰ رَبَّهُ رَبِّ لَا تَذَرْنِي فَرْدًا وَأَنْتَ خَيْرُ الْوَارِثِينَ
