surah:ayah	position	word	meaning	ayah_link
37:93	4	bil-yamīni	with the right hand	 فَرَاغَ عَلَيْهِمْ ضَرْبًا بِالْيَمِينِ
39:67	13	biyamīnihi	in His Right Hand	 وَالسَّمَاوَاتُ مَطْوِيَّاتٌ بِيَمِينِهِ سُبْحَانَهُ وَتَعَالَىٰ عَمَّا يُشْرِكُونَ
50:17	5	l-yamīni	the right	 إِذْ يَتَلَقَّى الْمُتَلَقِّيَانِ عَنِ الْيَمِينِ وَعَنِ الشِّمَالِ قَعِيدٌ
56:27	2	l-yamīni	(of) the right	 وَأَصْحَابُ الْيَمِينِ
56:27	5	l-yamīni	(of) the right	 مَا أَصْحَابُ الْيَمِينِ
56:38	2	l-yamīni	(of) the right	 لِأَصْحَابِ الْيَمِينِ
56:90	6	l-yamīni	(of) the right	 وَأَمَّا إِنْ كَانَ مِنْ أَصْحَابِ الْيَمِينِ
56:91	5	l-yamīni	(of) the right	 فَسَلَامٌ لَكَ مِنْ أَصْحَابِ الْيَمِينِ
57:12	9	wabi-aymānihim	and on their right	 يَسْعَىٰ نُورُهُمْ بَيْنَ أَيْدِيهِمْ وَبِأَيْمَانِهِمْ
58:16	2	aymānahum	their oaths	 اتَّخَذُوا أَيْمَانَهُمْ جُنَّةً فَصَدُّوا عَنْ سَبِيلِ اللَّهِ
63:2	2	aymānahum	their oaths	 اتَّخَذُوا أَيْمَانَهُمْ جُنَّةً فَصَدُّوا عَنْ سَبِيلِ اللَّهِ
66:2	6	aymānikum	(of) your oaths	 قَدْ فَرَضَ اللَّهُ لَكُمْ تَحِلَّةَ أَيْمَانِكُمْ وَاللَّهُ مَوْلَاكُمْ
66:8	33	wabi-aymānihim	and on their right	 نُورُهُمْ يَسْعَىٰ بَيْنَ أَيْدِيهِمْ وَبِأَيْمَانِهِمْ
68:39	3	aymānun	oaths	 أَمْ لَكُمْ أَيْمَانٌ عَلَيْنَا بَالِغَةٌ إِلَىٰ يَوْمِ الْقِيَامَةِ إِنَّ لَكُمْ لَمَا تَحْكُمُونَ
69:19	5	biyamīnihi	in his right hand	 فَأَمَّا مَنْ أُوتِيَ كِتَابَهُ بِيَمِينِهِ فَيَقُولُ هَاؤُمُ اقْرَءُوا كِتَابِيَهْ
69:45	3	bil-yamīni	by the right hand	 لَأَخَذْنَا مِنْهُ بِالْيَمِينِ
70:30	7	aymānuhum	rightfully	 إِلَّا عَلَىٰ أَزْوَاجِهِمْ أَوْ مَا مَلَكَتْ أَيْمَانُهُمْ فَإِنَّهُمْ غَيْرُ مَلُومِينَ
70:37	2	l-yamīni	the right	 عَنِ الْيَمِينِ وَعَنِ الشِّمَالِ عِزِينَ
74:39	3	l-yamīni	(of) the right	 إِلَّا أَصْحَابَ الْيَمِينِ
84:7	5	biyamīnihi	in his right (hand)	 فَأَمَّا مَنْ أُوتِيَ كِتَابَهُ بِيَمِينِهِ
14:11	11	yamunnu	bestows His Grace	 وَلَٰكِنَّ اللَّهَ يَمُنُّ عَلَىٰ مَنْ يَشَاءُ مِنْ عِبَادِهِ
49:17	1	yamunnūna	They consider (it) a favor	 يَمُنُّونَ عَلَيْكَ أَنْ أَسْلَمُوا قُلْ لَا تَمُنُّوا عَلَيَّ إِسْلَامَكُمْ
49:17	12	yamunnu	has conferred a favor	 بَلِ اللَّهُ يَمُنُّ عَلَيْكُمْ أَنْ هَدَاكُمْ لِلْإِيمَانِ إِنْ كُنْتُمْ صَادِقِينَ
