surah:ayah	position	word	meaning	ayah_link
28:48	21	siḥ'rāni	Two magic (works)	<a style='color:#95C7FF' href='https://quran.com/28:48/tafsirs/toBeReplaced'> قَالُوا سِحْرَانِ تَظَاهَرَا وَقَالُوا إِنَّا بِكُلٍّ كَافِرُونَ</a>
34:43	33	siḥ'run	a magic	<a style='color:#95C7FF' href='https://quran.com/34:43/tafsirs/toBeReplaced'> وَقَالَ الَّذِينَ كَفَرُوا لِلْحَقِّ لَمَّا جَاءَهُمْ إِنْ هَٰذَا إِلَّا سِحْرٌ مُبِينٌ</a>
37:15	5	siḥ'run	a magic	<a style='color:#95C7FF' href='https://quran.com/37:15/tafsirs/toBeReplaced'> وَقَالُوا إِنْ هَٰذَا إِلَّا سِحْرٌ مُبِينٌ</a>
43:30	6	siḥ'run	(is) magic	<a style='color:#95C7FF' href='https://quran.com/43:30/tafsirs/toBeReplaced'> وَلَمَّا جَاءَهُمُ الْحَقُّ قَالُوا هَٰذَا سِحْرٌ وَإِنَّا بِهِ كَافِرُونَ</a>
46:7	13	siḥ'run	(is) a magic	<a style='color:#95C7FF' href='https://quran.com/46:7/tafsirs/toBeReplaced'> قَالَ الَّذِينَ كَفَرُوا لِلْحَقِّ لَمَّا جَاءَهُمْ هَٰذَا سِحْرٌ مُبِينٌ</a>
52:15	1	afasiḥ'run	Then is this magic	<a style='color:#95C7FF' href='https://quran.com/52:15/tafsirs/toBeReplaced'> أَفَسِحْرٌ هَٰذَا أَمْ أَنْتُمْ لَا تُبْصِرُونَ</a>
54:2	6	siḥ'run	Magic	<a style='color:#95C7FF' href='https://quran.com/54:2/tafsirs/toBeReplaced'> وَإِنْ يَرَوْا آيَةً يُعْرِضُوا وَيَقُولُوا سِحْرٌ مُسْتَمِرٌّ</a>
61:6	30	siḥ'run	(is) a magic	<a style='color:#95C7FF' href='https://quran.com/61:6/tafsirs/toBeReplaced'> فَلَمَّا جَاءَهُمْ بِالْبَيِّنَاتِ قَالُوا هَٰذَا سِحْرٌ مُبِينٌ</a>
74:24	5	siḥ'run	magic	<a style='color:#95C7FF' href='https://quran.com/74:24/tafsirs/toBeReplaced'> فَقَالَ إِنْ هَٰذَا إِلَّا سِحْرٌ يُؤْثَرُ</a>
3:17	6	bil-asḥāri	[in the] before dawn	<a style='color:#95C7FF' href='https://quran.com/3:17/tafsirs/toBeReplaced'> الصَّابِرِينَ وَالصَّادِقِينَ وَالْقَانِتِينَ وَالْمُنْفِقِينَ وَالْمُسْتَغْفِرِينَ بِالْأَسْحَارِ</a>
51:18	1	wabil-asḥāri	And in the hours before dawn	<a style='color:#95C7FF' href='https://quran.com/51:18/tafsirs/toBeReplaced'> وَبِالْأَسْحَارِ هُمْ يَسْتَغْفِرُونَ</a>
54:34	9	bisaḥarin	by dawn	<a style='color:#95C7FF' href='https://quran.com/54:34/tafsirs/toBeReplaced'> إِنَّا أَرْسَلْنَا عَلَيْهِمْ حَاصِبًا إِلَّا آلَ لُوطٍ نَجَّيْنَاهُمْ بِسَحَرٍ</a>
7:109	8	lasāḥirun	(is) surely a magician 	<a style='color:#95C7FF' href='https://quran.com/7:109/tafsirs/toBeReplaced'> قَالَ الْمَلَأُ مِنْ قَوْمِ فِرْعَوْنَ إِنَّ هَٰذَا لَسَاحِرٌ عَلِيمٌ</a>
7:112	3	sāḥirin	magician	<a style='color:#95C7FF' href='https://quran.com/7:112/tafsirs/toBeReplaced'> يَأْتُوكَ بِكُلِّ سَاحِرٍ عَلِيمٍ</a>
7:113	2	l-saḥaratu	the magicians	<a style='color:#95C7FF' href='https://quran.com/7:113/tafsirs/toBeReplaced'> وَجَاءَ السَّحَرَةُ فِرْعَوْنَ قَالُوا إِنَّ لَنَا لَأَجْرًا إِنْ كُنَّا نَحْنُ الْغَالِبِينَ</a>
7:120	2	l-saḥaratu	the magicians	<a style='color:#95C7FF' href='https://quran.com/7:120/tafsirs/toBeReplaced'> وَأُلْقِيَ السَّحَرَةُ سَاجِدِينَ</a>
10:2	25	lasāḥirun	(is) surely a magician	<a style='color:#95C7FF' href='https://quran.com/10:2/tafsirs/toBeReplaced'> قَالَ الْكَافِرُونَ إِنَّ هَٰذَا لَسَاحِرٌ مُبِينٌ</a>
10:77	11	l-sāḥirūna	the magicians	<a style='color:#95C7FF' href='https://quran.com/10:77/tafsirs/toBeReplaced'> أَسِحْرٌ هَٰذَا وَلَا يُفْلِحُ السَّاحِرُونَ</a>
10:79	5	sāḥirin	magician	<a style='color:#95C7FF' href='https://quran.com/10:79/tafsirs/toBeReplaced'> وَقَالَ فِرْعَوْنُ ائْتُونِي بِكُلِّ سَاحِرٍ عَلِيمٍ</a>
10:80	3	l-saḥaratu	the magicians	<a style='color:#95C7FF' href='https://quran.com/10:80/tafsirs/toBeReplaced'> فَلَمَّا جَاءَ السَّحَرَةُ قَالَ لَهُمْ مُوسَىٰ أَلْقُوا مَا أَنْتُمْ مُلْقُونَ</a>
20:63	4	lasāḥirāni	[two] magicians	<a style='color:#95C7FF' href='https://quran.com/20:63/tafsirs/toBeReplaced'> قَالُوا إِنْ هَٰذَانِ لَسَاحِرَانِ يُرِيدَانِ أَنْ يُخْرِجَاكُمْ مِنْ أَرْضِكُمْ بِسِحْرِهِمَا</a>
20:69	11	sāḥirin	(of) a magician	<a style='color:#95C7FF' href='https://quran.com/20:69/tafsirs/toBeReplaced'> وَأَلْقِ مَا فِي يَمِينِكَ تَلْقَفْ مَا صَنَعُوا إِنَّمَا صَنَعُوا كَيْدُ سَاحِرٍ</a>
20:69	14	l-sāḥiru	the magician	<a style='color:#95C7FF' href='https://quran.com/20:69/tafsirs/toBeReplaced'> وَلَا يُفْلِحُ السَّاحِرُ حَيْثُ أَتَىٰ</a>
20:70	2	l-saḥaratu	the magicians	<a style='color:#95C7FF' href='https://quran.com/20:70/tafsirs/toBeReplaced'> فَأُلْقِيَ السَّحَرَةُ سُجَّدًا قَالُوا آمَنَّا بِرَبِّ هَارُونَ وَمُوسَىٰ</a>
26:34	6	lasāḥirun	(is) surely a magician	<a style='color:#95C7FF' href='https://quran.com/26:34/tafsirs/toBeReplaced'> قَالَ لِلْمَلَإِ حَوْلَهُ إِنَّ هَٰذَا لَسَاحِرٌ عَلِيمٌ</a>
26:38	2	l-saḥaratu	the magicians	<a style='color:#95C7FF' href='https://quran.com/26:38/tafsirs/toBeReplaced'> فَجُمِعَ السَّحَرَةُ لِمِيقَاتِ يَوْمٍ مَعْلُومٍ</a>
26:40	3	l-saḥarata	the magicians	<a style='color:#95C7FF' href='https://quran.com/26:40/tafsirs/toBeReplaced'> لَعَلَّنَا نَتَّبِعُ السَّحَرَةَ إِنْ كَانُوا هُمُ الْغَالِبِينَ</a>
26:41	3	l-saḥaratu	the magicians	<a style='color:#95C7FF' href='https://quran.com/26:41/tafsirs/toBeReplaced'> فَلَمَّا جَاءَ السَّحَرَةُ قَالُوا لِفِرْعَوْنَ أَئِنَّ لَنَا لَأَجْرًا</a>
26:46	2	l-saḥaratu	the magicians	<a style='color:#95C7FF' href='https://quran.com/26:46/tafsirs/toBeReplaced'> فَأُلْقِيَ السَّحَرَةُ سَاجِدِينَ</a>
38:4	9	sāḥirun	(is) a magician	<a style='color:#95C7FF' href='https://quran.com/38:4/tafsirs/toBeReplaced'> وَقَالَ الْكَافِرُونَ هَٰذَا سَاحِرٌ كَذَّابٌ</a>
40:24	6	sāḥirun	A magician	<a style='color:#95C7FF' href='https://quran.com/40:24/tafsirs/toBeReplaced'> إِلَىٰ فِرْعَوْنَ وَهَامَانَ وَقَارُونَ فَقَالُوا سَاحِرٌ كَذَّابٌ</a>
43:49	3	l-sāḥiru	[the] magician	<a style='color:#95C7FF' href='https://quran.com/43:49/tafsirs/toBeReplaced'> وَقَالُوا يَا أَيُّهَ السَّاحِرُ ادْعُ لَنَا رَبَّكَ بِمَا عَهِدَ عِنْدَكَ</a>
51:39	4	sāḥirun	A magician	<a style='color:#95C7FF' href='https://quran.com/51:39/tafsirs/toBeReplaced'> فَتَوَلَّىٰ بِرُكْنِهِ وَقَالَ سَاحِرٌ أَوْ مَجْنُونٌ</a>
51:52	11	sāḥirun	A magician	<a style='color:#95C7FF' href='https://quran.com/51:52/tafsirs/toBeReplaced'> كَذَٰلِكَ مَا أَتَى الَّذِينَ مِنْ قَبْلِهِمْ مِنْ رَسُولٍ إِلَّا قَالُوا سَاحِرٌ أَوْ مَجْنُونٌ</a>
15:15	8	masḥūrūna	bewitched	<a style='color:#95C7FF' href='https://quran.com/15:15/tafsirs/toBeReplaced'> بَلْ نَحْنُ قَوْمٌ مَسْحُورُونَ</a>
17:47	19	masḥūran	bewitched	<a style='color:#95C7FF' href='https://quran.com/17:47/tafsirs/toBeReplaced'> إِذْ يَقُولُ الظَّالِمُونَ إِنْ تَتَّبِعُونَ إِلَّا رَجُلًا مَسْحُورًا</a>
17:101	18	masḥūran	(you are) bewitched	<a style='color:#95C7FF' href='https://quran.com/17:101/tafsirs/toBeReplaced'> فَقَالَ لَهُ فِرْعَوْنُ إِنِّي لَأَظُنُّكَ يَا مُوسَىٰ مَسْحُورًا</a>
25:8	17	masḥūran	bewitched	<a style='color:#95C7FF' href='https://quran.com/25:8/tafsirs/toBeReplaced'> وَقَالَ الظَّالِمُونَ إِنْ تَتَّبِعُونَ إِلَّا رَجُلًا مَسْحُورًا</a>
26:153	5	l-musaḥarīna	those bewitched	<a style='color:#95C7FF' href='https://quran.com/26:153/tafsirs/toBeReplaced'> قَالُوا إِنَّمَا أَنْتَ مِنَ الْمُسَحَّرِينَ</a>
26:185	5	l-musaḥarīna	those bewitched	<a style='color:#95C7FF' href='https://quran.com/26:185/tafsirs/toBeReplaced'> قَالُوا إِنَّمَا أَنْتَ مِنَ الْمُسَحَّرِينَ</a>
