surah:ayah	position	word	meaning	form	p-o-s	ayah_link
13:20	3	biʿahdi	the covenant	I	Noun	 الَّذِينَ يُوفُونَ بِعَهْدِ اللَّهِ وَلَا يَنْقُضُونَ الْمِيثَاقَ
13:25	3	ʿahda	the covenant	I	Noun	 وَالَّذِينَ يَنْقُضُونَ عَهْدَ اللَّهِ مِنْ بَعْدِ مِيثَاقِهِ
16:91	2	biʿahdi	the covenant	I	Noun	 وَأَوْفُوا بِعَهْدِ اللَّهِ إِذَا عَاهَدْتُمْ
16:95	3	biʿahdi	the covenant	I	Noun	 وَلَا تَشْتَرُوا بِعَهْدِ اللَّهِ ثَمَنًا قَلِيلًا
17:34	13	bil-ʿahdi	the covenant	I	Noun	 وَأَوْفُوا بِالْعَهْدِ
17:34	15	l-ʿahda	the covenant	I	Noun	 إِنَّ الْعَهْدَ كَانَ مَسْئُولًا
19:78	7	ʿahdan	a promise	I	Noun	 أَطَّلَعَ الْغَيْبَ أَمِ اتَّخَذَ عِنْدَ الرَّحْمَٰنِ عَهْدًا
19:87	9	ʿahdan	a covenant	I	Noun	 لَا يَمْلِكُونَ الشَّفَاعَةَ إِلَّا مَنِ اتَّخَذَ عِنْدَ الرَّحْمَٰنِ عَهْدًا
20:86	16	l-ʿahdu	the promise	I	Noun	 أَفَطَالَ عَلَيْكُمُ الْعَهْدُ أَمْ أَرَدْتُمْ أَنْ يَحِلَّ عَلَيْكُمْ غَضَبٌ مِنْ رَبِّكُمْ
23:8	4	waʿahdihim	and their promise(s)	I	Noun	 وَالَّذِينَ هُمْ لِأَمَانَاتِهِمْ وَعَهْدِهِمْ رَاعُونَ
33:15	11	ʿahdu	(the) promise	I	Noun	 وَكَانَ عَهْدُ اللَّهِ مَسْئُولًا
70:32	4	waʿahdihim	and their promise	I	Noun	 وَالَّذِينَ هُمْ لِأَمَانَاتِهِمْ وَعَهْدِهِمْ رَاعُونَ
