surah:ayah	position	word	meaning	ayah_link
44:37	5	tubbaʿin	(of) Tubba	<a style='color:#95C7FF' href='https://quran.com/44:37/tafsirs/toBeReplaced'> أَهُمْ خَيْرٌ أَمْ قَوْمُ تُبَّعٍ وَالَّذِينَ مِنْ قَبْلِهِمْ</a>
50:14	4	tubbaʿin	(of) Tubba	<a style='color:#95C7FF' href='https://quran.com/50:14/tafsirs/toBeReplaced'> وَأَصْحَابُ الْأَيْكَةِ وَقَوْمُ تُبَّعٍ كُلٌّ كَذَّبَ الرُّسُلَ فَحَقَّ وَعِيدِ</a>
2:38	10	tabiʿa	follows	<a style='color:#95C7FF' href='https://quran.com/2:38/tafsirs/toBeReplaced'> فَمَنْ تَبِعَ هُدَايَ فَلَا خَوْفٌ عَلَيْهِمْ وَلَا هُمْ يَحْزَنُونَ</a>
2:145	9	tabiʿū	they would follow	<a style='color:#95C7FF' href='https://quran.com/2:145/tafsirs/toBeReplaced'> وَلَئِنْ أَتَيْتَ الَّذِينَ أُوتُوا الْكِتَابَ بِكُلِّ آيَةٍ مَا تَبِعُوا قِبْلَتَكَ</a>
3:73	5	tabiʿa	follows	<a style='color:#95C7FF' href='https://quran.com/3:73/tafsirs/toBeReplaced'> وَلَا تُؤْمِنُوا إِلَّا لِمَنْ تَبِعَ دِينَكُمْ</a>
7:18	7	tabiʿaka	follows you	<a style='color:#95C7FF' href='https://quran.com/7:18/tafsirs/toBeReplaced'> لَمَنْ تَبِعَكَ مِنْهُمْ لَأَمْلَأَنَّ جَهَنَّمَ مِنْكُمْ أَجْمَعِينَ</a>
14:36	8	tabiʿanī	follows me	<a style='color:#95C7FF' href='https://quran.com/14:36/tafsirs/toBeReplaced'> فَمَنْ تَبِعَنِي فَإِنَّهُ مِنِّي وَمَنْ عَصَانِي فَإِنَّكَ غَفُورٌ رَحِيمٌ</a>
17:63	4	tabiʿaka	follows you	<a style='color:#95C7FF' href='https://quran.com/17:63/tafsirs/toBeReplaced'> قَالَ اذْهَبْ فَمَنْ تَبِعَكَ مِنْهُمْ فَإِنَّ جَهَنَّمَ جَزَاؤُكُمْ جَزَاءً مَوْفُورًا</a>
38:85	5	tabiʿaka	follow you	<a style='color:#95C7FF' href='https://quran.com/38:85/tafsirs/toBeReplaced'> لَأَمْلَأَنَّ جَهَنَّمَ مِنْكَ وَمِمَّنْ تَبِعَكَ مِنْهُمْ أَجْمَعِينَ</a>
