surah:ayah	position	word	meaning	ayah_link
12:93	12	ajmaʿīna	all together	 فَأَلْقُوهُ عَلَىٰ وَجْهِ أَبِي يَأْتِ بَصِيرًا وَأْتُونِي بِأَهْلِكُمْ أَجْمَعِينَ
15:30	4	ajmaʿūna	together	 فَسَجَدَ الْمَلَائِكَةُ كُلُّهُمْ أَجْمَعُونَ
15:39	10	ajmaʿīna	all	 قَالَ رَبِّ بِمَا أَغْوَيْتَنِي لَأُزَيِّنَنَّ لَهُمْ فِي الْأَرْضِ وَلَأُغْوِيَنَّهُمْ أَجْمَعِينَ
15:43	4	ajmaʿīna	all	 وَإِنَّ جَهَنَّمَ لَمَوْعِدُهُمْ أَجْمَعِينَ
15:59	6	ajmaʿīna	all	 إِلَّا آلَ لُوطٍ إِنَّا لَمُنَجُّوهُمْ أَجْمَعِينَ
15:92	3	ajmaʿīna	all	 فَوَرَبِّكَ لَنَسْأَلَنَّهُمْ أَجْمَعِينَ
16:9	10	ajmaʿīna	all	 وَعَلَى اللَّهِ قَصْدُ السَّبِيلِ وَمِنْهَا جَائِرٌ وَلَوْ شَاءَ لَهَدَاكُمْ أَجْمَعِينَ
21:77	12	ajmaʿīna	all	 إِنَّهُمْ كَانُوا قَوْمَ سَوْءٍ فَأَغْرَقْنَاهُمْ أَجْمَعِينَ
26:49	21	ajmaʿīna	all	 لَأُقَطِّعَنَّ أَيْدِيَكُمْ وَأَرْجُلَكُمْ مِنْ خِلَافٍ وَلَأُصَلِّبَنَّكُمْ أَجْمَعِينَ
26:65	5	ajmaʿīna	all	 وَأَنْجَيْنَا مُوسَىٰ وَمَنْ مَعَهُ أَجْمَعِينَ
26:95	3	ajmaʿūna	all together	 وَجُنُودُ إِبْلِيسَ أَجْمَعُونَ
26:170	3	ajmaʿīna	all	 فَنَجَّيْنَاهُ وَأَهْلَهُ أَجْمَعِينَ
27:51	9	ajmaʿīna	all	 فَانْظُرْ كَيْفَ كَانَ عَاقِبَةُ مَكْرِهِمْ أَنَّا دَمَّرْنَاهُمْ وَقَوْمَهُمْ أَجْمَعِينَ
