surah:ayah	position	word	meaning	ayah_link
5:2	14	l-qalāida	the garlanded	 لَا تُحِلُّوا شَعَائِرَ اللَّهِ وَلَا الشَّهْرَ الْحَرَامَ وَلَا الْهَدْيَ وَلَا الْقَلَائِدَ
5:97	11	wal-qalāida	and the garlands	 جَعَلَ اللَّهُ الْكَعْبَةَ الْبَيْتَ الْحَرَامَ قِيَامًا لِلنَّاسِ وَالشَّهْرَ الْحَرَامَ وَالْهَدْيَ وَالْقَلَائِدَ
39:63	2	maqālīdu	(are the) keys	 لَهُ مَقَالِيدُ السَّمَاوَاتِ وَالْأَرْضِ
42:12	2	maqālīdu	(the) keys	 لَهُ مَقَالِيدُ السَّمَاوَاتِ وَالْأَرْضِ يَبْسُطُ الرِّزْقَ لِمَنْ يَشَاءُ وَيَقْدِرُ
