surah:ayah	position	word	meaning	ayah_link
6:138	5	ḥij'run	forbidden	 وَقَالُوا هَٰذِهِ أَنْعَامٌ وَحَرْثٌ حِجْرٌ لَا يَطْعَمُهَا إِلَّا مَنْ نَشَاءُ
15:80	4	l-ḥij'ri	(of) the Rocky Tract	 وَلَقَدْ كَذَّبَ أَصْحَابُ الْحِجْرِ الْمُرْسَلِينَ
25:22	9	ḥij'ran	A partition	 لَا بُشْرَىٰ يَوْمَئِذٍ لِلْمُجْرِمِينَ وَيَقُولُونَ حِجْرًا مَحْجُورًا
25:53	14	waḥij'ran	and a partition	 وَجَعَلَ بَيْنَهُمَا بَرْزَخًا وَحِجْرًا مَحْجُورًا
89:5	6	ḥij'rin	who understand	 هَلْ فِي ذَٰلِكَ قَسَمٌ لِذِي حِجْرٍ
2:60	8	l-ḥajara	the stone	 وَإِذِ اسْتَسْقَىٰ مُوسَىٰ لِقَوْمِهِ فَقُلْنَا اضْرِبْ بِعَصَاكَ الْحَجَرَ
7:160	15	l-ḥajara	the stone	 وَأَوْحَيْنَا إِلَىٰ مُوسَىٰ إِذِ اسْتَسْقَاهُ قَوْمُهُ أَنِ اضْرِبْ بِعَصَاكَ الْحَجَرَ
