surah:ayah	position	word	meaning	ayah_link
38:36	3	l-rīḥa	the wind	 فَسَخَّرْنَا لَهُ الرِّيحَ تَجْرِي بِأَمْرِهِ رُخَاءً حَيْثُ أَصَابَ
41:16	3	rīḥan	a wind	 فَأَرْسَلْنَا عَلَيْهِمْ رِيحًا صَرْصَرًا فِي أَيَّامٍ نَحِسَاتٍ
42:33	4	l-rīḥa	He can cause the wind to become still	 إِنْ يَشَأْ يُسْكِنِ الرِّيحَ فَيَظْلَلْنَ رَوَاكِدَ عَلَىٰ ظَهْرِهِ
45:5	17	l-riyāḥi	(the) winds	 فَأَحْيَا بِهِ الْأَرْضَ بَعْدَ مَوْتِهَا وَتَصْرِيفِ الرِّيَاحِ آيَاتٌ لِقَوْمٍ يَعْقِلُونَ
46:24	15	rīḥun	a wind	 بَلْ هُوَ مَا اسْتَعْجَلْتُمْ بِهِ رِيحٌ فِيهَا عَذَابٌ أَلِيمٌ
51:41	6	l-rīḥa	the wind	 وَفِي عَادٍ إِذْ أَرْسَلْنَا عَلَيْهِمُ الرِّيحَ الْعَقِيمَ
54:19	4	rīḥan	a wind	 إِنَّا أَرْسَلْنَا عَلَيْهِمْ رِيحًا صَرْصَرًا فِي يَوْمِ نَحْسٍ مُسْتَمِرٍّ
69:6	4	birīḥin	by a wind	 وَأَمَّا عَادٌ فَأُهْلِكُوا بِرِيحٍ صَرْصَرٍ عَاتِيَةٍ
55:12	4	wal-rayḥānu	and scented plants	 وَالْحَبُّ ذُو الْعَصْفِ وَالرَّيْحَانُ
56:89	2	warayḥānun	and bounty	 فَرَوْحٌ وَرَيْحَانٌ وَجَنَّتُ نَعِيمٍ
