surah:ayah	position	word	meaning	ayah_link
33:33	5	tabarrajna	display yourselves	 وَقَرْنَ فِي بُيُوتِكُنَّ وَلَا تَبَرَّجْنَ تَبَرُّجَ الْجَاهِلِيَّةِ الْأُولَىٰ
4:78	8	burūjin	towers	 أَيْنَمَا تَكُونُوا يُدْرِكْكُمُ الْمَوْتُ وَلَوْ كُنْتُمْ فِي بُرُوجٍ مُشَيَّدَةٍ
15:16	5	burūjan	constellations	 وَلَقَدْ جَعَلْنَا فِي السَّمَاءِ بُرُوجًا وَزَيَّنَّاهَا لِلنَّاظِرِينَ
25:61	6	burūjan	constellations	 تَبَارَكَ الَّذِي جَعَلَ فِي السَّمَاءِ بُرُوجًا
85:1	3	l-burūji	the constellations	 وَالسَّمَاءِ ذَاتِ الْبُرُوجِ
33:33	6	tabarruja	(as was the) display	 وَلَا تَبَرَّجْنَ تَبَرُّجَ الْجَاهِلِيَّةِ الْأُولَىٰ
24:60	15	mutabarrijātin	displaying	 فَلَيْسَ عَلَيْهِنَّ جُنَاحٌ أَنْ يَضَعْنَ ثِيَابَهُنَّ غَيْرَ مُتَبَرِّجَاتٍ بِزِينَةٍ
