surah:ayah	position	word	meaning	ayah_link
24:56	5	wa-aṭīʿū	and obey	 وَأَقِيمُوا الصَّلَاةَ وَآتُوا الزَّكَاةَ وَأَطِيعُوا الرَّسُولَ لَعَلَّكُمْ تُرْحَمُونَ
25:52	2	tuṭiʿi	obey	 فَلَا تُطِعِ الْكَافِرِينَ وَجَاهِدْهُمْ بِهِ جِهَادًا كَبِيرًا
26:108	3	wa-aṭīʿūni	and obey me	 فَاتَّقُوا اللَّهَ وَأَطِيعُونِ
26:110	3	wa-aṭīʿūni	and obey me	 فَاتَّقُوا اللَّهَ وَأَطِيعُونِ
26:126	3	wa-aṭīʿūni	and obey me	 فَاتَّقُوا اللَّهَ وَأَطِيعُونِ
26:131	3	wa-aṭīʿūni	and obey me	 فَاتَّقُوا اللَّهَ وَأَطِيعُونِ
26:144	3	wa-aṭīʿūni	and obey me	 فَاتَّقُوا اللَّهَ وَأَطِيعُونِ
26:150	3	wa-aṭīʿūni	and obey me	 فَاتَّقُوا اللَّهَ وَأَطِيعُونِ
26:151	2	tuṭīʿū	obey	 وَلَا تُطِيعُوا أَمْرَ الْمُسْرِفِينَ
26:163	3	wa-aṭīʿūni	and obey me	 فَاتَّقُوا اللَّهَ وَأَطِيعُونِ
26:179	3	wa-aṭīʿūni	and obey me	 فَاتَّقُوا اللَّهَ وَأَطِيعُونِ
29:8	15	tuṭiʿ'humā	obey both of them	 وَإِنْ جَاهَدَاكَ لِتُشْرِكَ بِي مَا لَيْسَ لَكَ بِهِ عِلْمٌ فَلَا تُطِعْهُمَا
31:15	13	tuṭiʿ'humā	obey both of them	 وَإِنْ جَاهَدَاكَ عَلَىٰ أَنْ تُشْرِكَ بِي مَا لَيْسَ لَكَ بِهِ عِلْمٌ فَلَا تُطِعْهُمَا
33:1	6	tuṭiʿi	obey	 يَا أَيُّهَا النَّبِيُّ اتَّقِ اللَّهَ وَلَا تُطِعِ الْكَافِرِينَ وَالْمُنَافِقِينَ
33:33	13	wa-aṭiʿ'na	and obey	 وَأَقِمْنَ الصَّلَاةَ وَآتِينَ الزَّكَاةَ وَأَطِعْنَ اللَّهَ وَرَسُولَهُ
33:48	2	tuṭiʿi	obey	 وَلَا تُطِعِ الْكَافِرِينَ وَالْمُنَافِقِينَ وَدَعْ أَذَاهُمْ وَتَوَكَّلْ عَلَى اللَّهِ
