surah_ayah	position	string	meaning	ayah_link
34:27	11	l-ʿazīzu	the All-Mighty	 قُلْ أَرُونِيَ الَّذِينَ أَلْحَقْتُمْ بِهِ شُرَكَاءَ كَلَّا بَلْ هُوَ اللَّهُ الْعَزِيزُ الْحَكِيمُ
35:2	18	l-ʿazīzu	(is) the All-Mighty	 وَمَا يُمْسِكْ فَلَا مُرْسِلَ لَهُ مِنْ بَعْدِهِ وَهُوَ الْعَزِيزُ الْحَكِيمُ
35:10	4	l-ʿizata	the honor	 مَنْ كَانَ يُرِيدُ الْعِزَّةَ
35:10	6	l-ʿizatu	(is) the Honor	 فَلِلَّهِ الْعِزَّةُ جَمِيعًا
35:17	5	biʿazīzin	difficult	 وَمَا ذَٰلِكَ عَلَى اللَّهِ بِعَزِيزٍ
35:28	16	ʿazīzun	(is) All-Mighty	 إِنَّمَا يَخْشَى اللَّهَ مِنْ عِبَادِهِ الْعُلَمَاءُ إِنَّ اللَّهَ عَزِيزٌ غَفُورٌ
36:5	2	l-ʿazīzi	(of) the All-Mighty	 تَنْزِيلَ الْعَزِيزِ الرَّحِيمِ
36:14	6	faʿazzaznā	so We strengthened them	 إِذْ أَرْسَلْنَا إِلَيْهِمُ اثْنَيْنِ فَكَذَّبُوهُمَا فَعَزَّزْنَا بِثَالِثٍ
36:38	7	l-ʿazīzi	(of) the All-Mighty	 وَالشَّمْسُ تَجْرِي لِمُسْتَقَرٍّ لَهَا ذَٰلِكَ تَقْدِيرُ الْعَزِيزِ الْعَلِيمِ
37:180	4	l-ʿizati	(of) Honor	 سُبْحَانَ رَبِّكَ رَبِّ الْعِزَّةِ عَمَّا يَصِفُونَ
38:2	5	ʿizzatin	self-glory	 بَلِ الَّذِينَ كَفَرُوا فِي عِزَّةٍ وَشِقَاقٍ
38:9	6	l-ʿazīzi	the All-Mighty	 أَمْ عِنْدَهُمْ خَزَائِنُ رَحْمَةِ رَبِّكَ الْعَزِيزِ الْوَهَّابِ
38:23	13	waʿazzanī	and he overpowered me	 وَلِيَ نَعْجَةٌ وَاحِدَةٌ فَقَالَ أَكْفِلْنِيهَا وَعَزَّنِي فِي الْخِطَابِ
38:66	6	l-ʿazīzu	the All-Mighty	 رَبُّ السَّمَاوَاتِ وَالْأَرْضِ وَمَا بَيْنَهُمَا الْعَزِيزُ الْغَفَّارُ
38:82	2	fabiʿizzatika	Then by Your might	 قَالَ فَبِعِزَّتِكَ لَأُغْوِيَنَّهُمْ أَجْمَعِينَ
39:1	5	l-ʿazīzi	the All-Mighty	 تَنْزِيلُ الْكِتَابِ مِنَ اللَّهِ الْعَزِيزِ الْحَكِيمِ
39:5	22	l-ʿazīzu	(is) the All-Mighty	 كُلٌّ يَجْرِي لِأَجَلٍ مُسَمًّى أَلَا هُوَ الْعَزِيزُ الْغَفَّارُ
39:37	10	biʿazīzin	All-Mighty	 أَلَيْسَ اللَّهُ بِعَزِيزٍ ذِي انْتِقَامٍ
40:2	5	l-ʿazīzi	the All-Mighty	 تَنْزِيلُ الْكِتَابِ مِنَ اللَّهِ الْعَزِيزِ الْعَلِيمِ
40:8	15	l-ʿazīzu	(are) the All-Mighty	 إِنَّكَ أَنْتَ الْعَزِيزُ الْحَكِيمُ
40:42	14	l-ʿazīzi	the All-Mighty	 وَأَنَا أَدْعُوكُمْ إِلَى الْعَزِيزِ الْغَفَّارِ
41:12	18	l-ʿazīzi	(of) the All-Mighty	 ذَٰلِكَ تَقْدِيرُ الْعَزِيزِ الْعَلِيمِ
41:41	9	ʿazīzun	mighty	 إِنَّ الَّذِينَ كَفَرُوا بِالذِّكْرِ لَمَّا جَاءَهُمْ وَإِنَّهُ لَكِتَابٌ عَزِيزٌ
42:3	9	l-ʿazīzu	the All-Mighty	 كَذَٰلِكَ يُوحِي إِلَيْكَ وَإِلَى الَّذِينَ مِنْ قَبْلِكَ اللَّهُ الْعَزِيزُ الْحَكِيمُ
42:19	9	l-ʿazīzu	the All-Mighty	 اللَّهُ لَطِيفٌ بِعِبَادِهِ يَرْزُقُ مَنْ يَشَاءُ وَهُوَ الْقَوِيُّ الْعَزِيزُ
43:9	9	l-ʿazīzu	the All-Mighty	 لَيَقُولُنَّ خَلَقَهُنَّ الْعَزِيزُ الْعَلِيمُ
44:42	7	l-ʿazīzu	(is) the All-Mighty	 إِلَّا مَنْ رَحِمَ اللَّهُ إِنَّهُ هُوَ الْعَزِيزُ الرَّحِيمُ
44:49	4	l-ʿazīzu	the mighty	 ذُقْ إِنَّكَ أَنْتَ الْعَزِيزُ الْكَرِيمُ
45:2	5	l-ʿazīzi	the All-Mighty	 تَنْزِيلُ الْكِتَابِ مِنَ اللَّهِ الْعَزِيزِ الْحَكِيمِ
45:37	7	l-ʿazīzu	(is) the All-Mighty	 وَلَهُ الْكِبْرِيَاءُ فِي السَّمَاوَاتِ وَالْأَرْضِ وَهُوَ الْعَزِيزُ الْحَكِيمُ
46:2	5	l-ʿazīzi	the All-Mighty	 تَنْزِيلُ الْكِتَابِ مِنَ اللَّهِ الْعَزِيزِ الْحَكِيمِ
48:3	4	ʿazīzan	mighty	 وَيَنْصُرَكَ اللَّهُ نَصْرًا عَزِيزًا
48:7	7	ʿazīzan	(is) All-Mighty	 وَلِلَّهِ جُنُودُ السَّمَاوَاتِ وَالْأَرْضِ وَكَانَ اللَّهُ عَزِيزًا حَكِيمًا
48:19	6	ʿazīzan	All-Mighty	 وَمَغَانِمَ كَثِيرَةً يَأْخُذُونَهَا وَكَانَ اللَّهُ عَزِيزًا حَكِيمًا
54:42	6	ʿazīzin	(of) All-Mighty	 كَذَّبُوا بِآيَاتِنَا كُلِّهَا فَأَخَذْنَاهُمْ أَخْذَ عَزِيزٍ مُقْتَدِرٍ
57:1	8	l-ʿazīzu	(is) the All-Mighty	 سَبَّحَ لِلَّهِ مَا فِي السَّمَاوَاتِ وَالْأَرْضِ وَهُوَ الْعَزِيزُ الْحَكِيمُ
57:25	28	ʿazīzun	All-Mighty	 وَلِيَعْلَمَ اللَّهُ مَنْ يَنْصُرُهُ وَرُسُلَهُ بِالْغَيْبِ إِنَّ اللَّهَ قَوِيٌّ عَزِيزٌ
58:21	9	ʿazīzun	All-Mighty	 كَتَبَ اللَّهُ لَأَغْلِبَنَّ أَنَا وَرُسُلِي إِنَّ اللَّهَ قَوِيٌّ عَزِيزٌ
59:1	10	l-ʿazīzu	(is) the All-Mighty	 سَبَّحَ لِلَّهِ مَا فِي السَّمَاوَاتِ وَمَا فِي الْأَرْضِ وَهُوَ الْعَزِيزُ الْحَكِيمُ
59:23	13	l-ʿazīzu	the All-Mighty	 الْمَلِكُ الْقُدُّوسُ السَّلَامُ الْمُؤْمِنُ الْمُهَيْمِنُ الْعَزِيزُ الْجَبَّارُ
59:24	16	l-ʿazīzu	(is) the All-Mighty	 يُسَبِّحُ لَهُ مَا فِي السَّمَاوَاتِ وَالْأَرْضِ وَهُوَ الْعَزِيزُ الْحَكِيمُ
60:5	12	l-ʿazīzu	(are) the All-Mighty	 وَاغْفِرْ لَنَا رَبَّنَا إِنَّكَ أَنْتَ الْعَزِيزُ الْحَكِيمُ
61:1	10	l-ʿazīzu	(is) the All-Mighty	 سَبَّحَ لِلَّهِ مَا فِي السَّمَاوَاتِ وَمَا فِي الْأَرْضِ وَهُوَ الْعَزِيزُ الْحَكِيمُ
62:1	11	l-ʿazīzi	the All-Mighty	 الْمَلِكِ الْقُدُّوسِ الْعَزِيزِ الْحَكِيمِ
62:3	7	l-ʿazīzu	(is) the All-Mighty	 وَآخَرِينَ مِنْهُمْ لَمَّا يَلْحَقُوا بِهِمْ وَهُوَ الْعَزِيزُ الْحَكِيمُ
63:8	7	l-aʿazu	the more honorable	 يَقُولُونَ لَئِنْ رَجَعْنَا إِلَى الْمَدِينَةِ لَيُخْرِجَنَّ الْأَعَزُّ مِنْهَا الْأَذَلَّ
63:8	11	l-ʿizatu	(is) the honor	 وَلِلَّهِ الْعِزَّةُ وَلِرَسُولِهِ وَلِلْمُؤْمِنِينَ وَلَٰكِنَّ الْمُنَافِقِينَ لَا يَعْلَمُونَ
64:18	4	l-ʿazīzu	the All-Mighty	 عَالِمُ الْغَيْبِ وَالشَّهَادَةِ الْعَزِيزُ الْحَكِيمُ
67:2	10	l-ʿazīzu	(is) the All-Mighty	 لِيَبْلُوَكُمْ أَيُّكُمْ أَحْسَنُ عَمَلًا وَهُوَ الْعَزِيزُ الْغَفُورُ
85:8	8	l-ʿazīzi	the All-Mighty	 وَمَا نَقَمُوا مِنْهُمْ إِلَّا أَنْ يُؤْمِنُوا بِاللَّهِ الْعَزِيزِ الْحَمِيدِ
