surah_ayah	position	string	meaning	ayah_link
26:44	6	fir'ʿawna	(of) Firaun	 فَأَلْقَوْا حِبَالَهُمْ وَعِصِيَّهُمْ وَقَالُوا بِعِزَّةِ فِرْعَوْنَ إِنَّا لَنَحْنُ الْغَالِبُونَ
26:53	2	fir'ʿawnu	Firaun	 فَأَرْسَلَ فِرْعَوْنُ فِي الْمَدَائِنِ حَاشِرِينَ
27:12	14	fir'ʿawna	Firaun	 فِي تِسْعِ آيَاتٍ إِلَىٰ فِرْعَوْنَ وَقَوْمِهِ إِنَّهُمْ كَانُوا قَوْمًا فَاسِقِينَ
28:3	6	wafir'ʿawna	and Firaun	 نَتْلُو عَلَيْكَ مِنْ نَبَإِ مُوسَىٰ وَفِرْعَوْنَ بِالْحَقِّ لِقَوْمٍ يُؤْمِنُونَ
28:4	2	fir'ʿawna	Firaun	 إِنَّ فِرْعَوْنَ عَلَا فِي الْأَرْضِ وَجَعَلَ أَهْلَهَا شِيَعًا
28:6	6	fir'ʿawna	Firaun	 وَنُرِيَ فِرْعَوْنَ وَهَامَانَ وَجُنُودَهُمَا مِنْهُمْ مَا كَانُوا يَحْذَرُونَ
28:8	3	fir'ʿawna	(of) Firaun	 فَالْتَقَطَهُ آلُ فِرْعَوْنَ لِيَكُونَ لَهُمْ عَدُوًّا وَحَزَنًا
28:8	9	fir'ʿawna	Firaun	 إِنَّ فِرْعَوْنَ وَهَامَانَ وَجُنُودَهُمَا كَانُوا خَاطِئِينَ
28:9	3	fir'ʿawna	(of) Firaun	 وَقَالَتِ امْرَأَتُ فِرْعَوْنَ قُرَّتُ عَيْنٍ لِي وَلَكَ
28:32	20	fir'ʿawna	Firaun	 فَذَانِكَ بُرْهَانَانِ مِنْ رَبِّكَ إِلَىٰ فِرْعَوْنَ وَمَلَئِهِ
28:38	2	fir'ʿawnu	And Firaun said	 وَقَالَ فِرْعَوْنُ يَا أَيُّهَا الْمَلَأُ مَا عَلِمْتُ لَكُمْ مِنْ إِلَٰهٍ غَيْرِي
29:39	2	wafir'ʿawna	and Firaun	 وَقَارُونَ وَفِرْعَوْنَ وَهَامَانَ وَلَقَدْ جَاءَهُمْ مُوسَىٰ بِالْبَيِّنَاتِ
38:12	6	wafir'ʿawnu	and Firaun	 قَوْمُ نُوحٍ وَعَادٌ وَفِرْعَوْنُ ذُو الْأَوْتَادِ
40:24	2	fir'ʿawna	Firaun	 إِلَىٰ فِرْعَوْنَ وَهَامَانَ
40:26	2	fir'ʿawnu	Firaun	 وَقَالَ فِرْعَوْنُ ذَرُونِي أَقْتُلْ مُوسَىٰ وَلْيَدْعُ رَبَّهُ
40:28	6	fir'ʿawna	(of) Firaun	 وَقَالَ رَجُلٌ مُؤْمِنٌ مِنْ آلِ فِرْعَوْنَ يَكْتُمُ إِيمَانَهُ
40:29	16	fir'ʿawnu	Firaun	 قَالَ فِرْعَوْنُ مَا أُرِيكُمْ إِلَّا مَا أَرَىٰ وَمَا أَهْدِيكُمْ إِلَّا سَبِيلَ الرَّشَادِ
40:36	2	fir'ʿawnu	Firaun	 وَقَالَ فِرْعَوْنُ يَا هَامَانُ ابْنِ لِي صَرْحًا لَعَلِّي أَبْلُغُ الْأَسْبَابَ
